City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Tiksi,71.6872,128.8694,-19.14,88,100,8.28,RU
1,Albany,42.6001,-73.9662,39.0,66,97,14.56,US
2,Busselton,-33.65,115.3333,66.99,63,57,7.0,AU
3,Brae,60.3964,-1.353,44.6,87,40,24.16,GB
4,Port Alfred,-33.5906,26.891,70.0,85,8,9.19,ZA
5,Katsuura,35.1333,140.3,39.2,70,20,9.22,JP
6,Lebu,-37.6167,-73.65,61.88,68,0,21.41,CL
7,Messina,38.1933,15.5497,50.0,71,40,6.91,IT
8,Pochutla,15.7432,-96.4661,86.0,51,40,6.35,MX
9,São Filipe,14.8961,-24.4956,74.8,65,0,9.84,CV
10,Kapaa,22.0752,-159.319,73.4,88,40,6.91,US
11,New Norfolk,-42.7826,147.0587,60.01,75,100,4.0,AU
12,Inuvik,68.3499,-133.7218,-5.8,77,91,2.64,CA
13,Sainte-Maxime,43.3,6.6333,52.0,37,3,29.93,FR
14,Saint Paul Harbor,57.79,-152.4072,37.4,75,1,14.97,US
15,Mhlume,-26.0333,31.85,69.8,94,98,2.3,SZ
16,Punta Arenas,-53.15,-70.9167,53.6,94,90,14.97,CL
17,Mataura,-46.1927,168.8643,42.71,92,66,4.03,NZ
18,Nassau,40.7507,-73.5829,44.01,45,20,18.41,US
19,Rikitea,-23.1203,-134.9692,78.44,77,14,14.94,PF
20,Torbay,47.6666,-52.7314,35.01,100,90,14.97,CA
21,University Place,47.2356,-122.5504,46.0,93,90,3.44,US
22,Ushuaia,-54.8,-68.3,51.8,62,90,6.24,AR
23,São João da Barra,-21.6403,-41.0511,87.8,45,0,18.41,BR
24,Saskylakh,71.9167,114.0833,-28.64,84,66,5.99,RU
25,Hobart,-42.8794,147.3294,60.8,59,90,12.66,AU
26,Atuona,-9.8,-139.0333,78.15,76,2,15.3,PF
27,Zhicheng,30.2956,111.5047,37.99,71,8,2.46,CN
28,Deputatsky,69.3,139.9,-33.21,86,100,1.48,RU
29,San Cristobal,7.7669,-72.225,84.2,61,40,8.05,VE
30,Pringsewu,-5.3582,104.9744,73.87,91,95,1.28,ID
31,Coahuayana Viejo,18.7333,-103.6833,77.0,50,40,4.05,MX
32,Kloulklubed,7.0419,134.2556,75.2,100,90,5.75,PW
33,Kumul,42.8,93.45,15.28,74,0,1.48,CN
34,Nizwá,22.9333,57.5333,63.46,28,14,4.16,OM
35,Tilichiki,60.4667,166.1,-16.35,85,100,14.58,RU
36,Paamiut,61.994,-49.6678,28.71,97,100,12.46,GL
37,Vaini,-21.2,-175.2,78.8,94,40,4.61,TO
38,Haines Junction,60.7522,-137.5108,17.6,86,80,2.3,CA
39,Monrovia,6.3005,-10.7969,89.6,51,40,9.57,LR
40,Lorengau,-2.0226,147.2712,83.03,76,86,14.09,PG
41,Sisimiut,66.9395,-53.6735,18.23,92,100,25.03,GL
42,Barrow,71.2906,-156.7887,-0.4,71,90,16.11,US
43,Green River,41.5286,-109.4662,30.2,64,1,26.46,US
44,Aripuanã,-9.1667,-60.6333,84.81,62,99,4.76,BR
45,Grindavik,63.8424,-22.4338,32.0,100,75,17.27,IS
46,Tura,25.5198,90.2201,60.21,62,0,3.83,IN
47,Alta Floresta,-9.8756,-56.0861,77.0,94,90,5.75,BR
48,Zonguldak,41.25,31.8333,27.81,100,100,7.4,TR
49,Doha,25.2867,51.5333,68.0,73,0,5.75,QA
50,Solnechnyy,50.7214,136.6319,-12.37,88,100,0.98,RU
51,Krasnosel'kup,65.7,82.4667,-3.73,91,100,19.19,RU
52,Seguin,29.5688,-97.9647,64.99,24,1,8.05,US
53,Naze,28.3667,129.4833,51.06,80,93,15.01,JP
54,Castro,-24.7911,-50.0119,71.51,90,98,11.97,BR
55,Ribeira Grande,38.5167,-28.7,62.6,94,75,27.63,PT
56,Taree,-31.9,152.4667,60.8,94,76,2.57,AU
57,Avarua,-21.2078,-159.775,75.2,94,82,2.3,CK
58,Qaanaaq,77.484,-69.3632,-1.44,76,0,5.7,GL
59,Olafsvik,64.8945,-23.7142,33.33,92,98,18.01,IS
60,George Town,5.4112,100.3354,81.0,65,20,10.36,MY
61,Jamestown,42.097,-79.2353,34.0,93,90,9.22,US
62,Pimentel,-6.8367,-79.9342,80.6,57,0,14.97,PE
63,Ják,47.1425,16.5815,24.01,88,69,1.01,HU
64,Hithadhoo,-0.6,73.0833,81.57,71,86,4.92,MV
65,Dikson,73.5069,80.5464,-24.27,85,57,17.87,RU
66,Aden,12.7794,45.0367,76.5,68,28,3.47,YE
67,Butaritari,3.0707,172.7902,80.28,76,45,19.08,KI
68,Bluff,-46.6,168.3333,51.75,67,53,21.63,NZ
69,Kushiro,42.975,144.3747,18.18,97,96,5.32,JP
70,Puerto Ayora,-0.7393,-90.3518,82.4,65,75,5.75,EC
71,Hong Kong,22.2855,114.1577,57.0,49,51,11.79,HK
72,Waingapu,-9.6567,120.2641,78.96,79,97,5.01,ID
73,Los Llanos de Aridane,28.6585,-17.9182,66.2,63,75,6.91,ES
74,Cape Town,-33.9258,18.4232,75.2,53,0,18.41,ZA
75,Beringovskiy,63.05,179.3167,-11.47,88,88,9.17,RU
76,Yellowknife,62.456,-114.3525,-2.0,78,90,4.61,CA
77,Mutare,-18.9707,32.6709,69.53,96,100,2.04,ZW
78,Balikpapan,-1.2675,116.8289,75.81,86,100,3.0,ID
79,Huarmey,-10.0681,-78.1522,76.39,66,24,13.18,PE
80,Hermanus,-34.4187,19.2345,73.99,63,9,8.01,ZA
